task_description,task_category,task_required_skill,employer_id,employer_skill,match,required_skills_list,employer_skills_list
"this task involves testing a cybersecurity app skills needed networking,firewalls,encryption",cybersecurity,"ntworking,firewalls,encryption",61fc4b67-0fcc-2e12-075c-1b1e7c889976,"terrform,javascript,ract nativ",0,"['ntworking', 'firewalls', 'encryption']","['terrform', 'javascript', 'ract nativ']"
"this task involves designing a data science app skills needed python,numpy,scikitlern,pandas",data science,"python,numpy,scikitlern,pandas",10b04e26-a403-93a6-a5e0-5ffa80b0868a,"java,firewalls,encryption,html",0,"['python', 'numpy', 'scikitlern', 'pandas']","['java', 'firewalls', 'encryption', 'html']"
"this task involves designing a devops app skills needed docker,cicd,kubernetes,terrform",devops,"docker,cicd,kubernetes,terrform",a84f4984-158e-cf54-1463-80731deaa871,"kubernetes,cicd,kotlin,java",1,"['docker', 'cicd', 'kubernetes', 'terrform']","['kubernetes', 'cicd', 'kotlin', 'java']"
"this task involves testing a devops app skills needed docker,cicd",devops,"docker,cicd",4c7922a0-cb62-e45c-ab23-96b368dbce7f,"c,encryption,sql,kotlin,jvscript",0,"['docker', 'cicd']","['c', 'encryption', 'sql', 'kotlin', 'jvscript']"
"this tsk involves designing dt science pp skills needed scikitlern,python,pnds,sql",dt science,"scikitlern,python,pnds,sql",b063b554-2e3b-047e-9915-143204f0ece5,"c,fluttr,firewalls",0,"['scikitlern', 'python', 'pnds', 'sql']","['c', 'fluttr', 'firewalls']"
"this task involves developing a mobile development app skills needed java,kotlin,react native",mobile development,"java,kotlin,react native",6969b42a-ed49-558e-e3d1-ca0256263b61,"html,blender,scikitlarn",0,"['java', 'kotlin', 'react native']","['html', 'blender', 'scikitlarn']"
"this task involves designing a data science app skills needed pandas,python",data science,"pandas,python",64287258-1d8c-466b-a3cc-6104fc2d4ac2,"css,flutter,ract nativ,dockr,swift",0,"['pandas', 'python']","['css', 'flutter', 'ract nativ', 'dockr', 'swift']"
"this task involves testing a game development app skills needed c,c,unity,blender",game development,"c,c,unity,blender",0ab83b88-1417-490f-c560-485423268840,"c,blender,rect ntive,numpy,sql",1,"['c', 'c', 'unity', 'blender']","['c', 'blender', 'rect ntive', 'numpy', 'sql']"
"this task involves developing a data science app skills needed scikitlearn,pandas,sql,numpy",data science,"scikitlearn,pandas,sql,numpy",071bd90f-fdbc-62e1-afb7-fa96cb13f3ac,"css,siem,ws,c,firewalls",0,"['scikitlearn', 'pandas', 'sql', 'numpy']","['css', 'siem', 'ws', 'c', 'firewalls']"
"this task involves designing a web development app skills needed jvscript,react,css,html",web development,"jvscript,react,css,html",96e015df-5189-9828-af5b-e8cb81216298,"css,html,blndr,dockr",1,"['jvscript', 'react', 'css', 'html']","['css', 'html', 'blndr', 'dockr']"
"this tsk involves testing mobile development pp skills needed kotlin,swift,flutter,jv",mobile development,"kotlin,swift,flutter,jv",7b86a38e-8cd1-1238-367d-488f8dc82000,"unity,penetrtion testing,css,html,docker",0,"['kotlin', 'swift', 'flutter', 'jv']","['unity', 'penetrtion testing', 'css', 'html', 'docker']"
"this task involves designing a game development app skills needed blender,unrel engine,c,unity",gme development,"blender,unrel engine,c,unity",07608850-9fea-8ecc-b411-710902308933,"nodejs,firwalls,encryption",0,"['blender', 'unrel engine', 'c', 'unity']","['nodejs', 'firwalls', 'encryption']"
"this task involves improving a data science app skills needed python,sql,scikitlearn,numpy",data science,"python,sql,scikitlarn,numpy",f93ab740-f1d2-12de-0256-b3dc7d8ce599,"html,kubrnts,fluttr,firewalls",0,"['python', 'sql', 'scikitlarn', 'numpy']","['html', 'kubrnts', 'fluttr', 'firewalls']"
"this task involves designing a game development app skills needed unity,blender,unreal engine,c",game development,"unity,blender,unreal engine,c",6e0bae06-34fd-49c8-0ed7-e978af4bcf8c,"sql,penetration testing,python",0,"['unity', 'blender', 'unreal engine', 'c']","['sql', 'penetration testing', 'python']"
"this task involves improving a devops app skills needed kubernetes,ws",devops,"kubernetes,ws",c925e623-8e55-23c5-e20b-814ef2a772c9,"kubrnts,aws,css,c,siem",1,"['kubernetes', 'ws']","['kubrnts', 'aws', 'css', 'c', 'siem']"
"this task involves testing a mobile development app skills needed java,swift,react native",mobile development,"java,swift,react native",88fcfb8f-eb6f-461b-7980-773fcb2e2e55,"swift,react native,c",1,"['java', 'swift', 'react native']","['swift', 'react native', 'c']"
"this task involves testing a cybersecurity app skills needed firewalls,encryption,penetrtion testing",cybersecurity,"firewalls,encryption,penetrtion testing",cd805a04-b06b-ef2a-0ee7-c20a083d232b,"siem,nodjs,flutter",0,"['firewalls', 'encryption', 'penetrtion testing']","['siem', 'nodjs', 'flutter']"
"this tsk involves developing cybersecurity pp skills needed firewlls,networking",cybersecurity,"firwlls,networking",c14c2621-73a7-07f5-4c6f-d6e492ec5117,"aws,kotlin,siem",0,"['firwlls', 'networking']","['aws', 'kotlin', 'siem']"
"this task involves improving a mobile development app skills needed kotlin,react native",mobile development,"kotlin,ract nativ",ec4ac397-8fe8-5a16-36af-8bd074a2c5fd,"pandas,html,encryption,c",0,"['kotlin', 'ract nativ']","['pandas', 'html', 'encryption', 'c']"
"this tsk involves designing cybersecurity pp skills needed penetrtion testing,firewalls,networking",cybersecurity,"penetrtion testing,firewalls,ntworking",3485025b-4626-e2e2-4e8c-cea3a31f17fd,"html,encryption,swift",0,"['penetrtion testing', 'firewalls', 'ntworking']","['html', 'encryption', 'swift']"
"this task involves testing a game development app skills needed c,c,unrel engine,blender",game development,"c,c,unrel engine,blender",a4bc8a80-6a5d-8ad2-0dc2-eae792b0886b,"css,sql,siem",0,"['c', 'c', 'unrel engine', 'blender']","['css', 'sql', 'siem']"
"this task involves testing a devops app skills needed cicd,aws,kubernetes,docker",devops,"cicd,aws,kubernetes,docker",de466f80-244e-d621-28e1-1ab6ffd88bf4,"cicd,aws,c,dockr",1,"['cicd', 'aws', 'kubernetes', 'docker']","['cicd', 'aws', 'c', 'dockr']"
"this task involves improving a mobile development app skills needed jv,flutter,swift",mobile development,"jv,flutter,swift",28060731-30b7-2c4a-e3f2-15c5308f9c0f,"swift,java,aws",1,"['jv', 'flutter', 'swift']","['swift', 'java', 'aws']"
"this task involves designing a mobile development app skills needed kotlin,flutter",mobile development,"kotlin,flutter",86771ef4-fd84-2590-53dc-7fb64c9c98da,"swift,rect,c,trraform",0,"['kotlin', 'flutter']","['swift', 'rect', 'c', 'trraform']"
"this task involves testing a game development app skills needed unreal engine,unity,c,blender",game development,"unreal engine,unity,c,blender",29266d34-2409-1f31-bf3f-f3cab00f8d5d,"blender,unreal engine,terraform,sql",1,"['unreal engine', 'unity', 'c', 'blender']","['blender', 'unreal engine', 'terraform', 'sql']"
"this task involves designing a mobile development app skills needed flutter,swift,react native,java",mobile development,"flutter,swift,react native,java",70918888-b7e2-f9d5-426f-e50831789d6a,"fluttr,rct ntiv,swift,html",1,"['flutter', 'swift', 'react native', 'java']","['fluttr', 'rct ntiv', 'swift', 'html']"
"this task involves designing a web development app skills needed css,javascript,html,nodejs",web development,"css,javascript,html,nodjs",82657b18-7b2e-63b1-8cc6-b28eecec6b41,"css,javascript,swift",1,"['css', 'javascript', 'html', 'nodjs']","['css', 'javascript', 'swift']"
"this task involves improving a data science app skills needed pandas,numpy,python",data science,"pandas,numpy,python",28abb7ce-01ce-56b0-eec4-10ac10c2bcd0,"scikitlearn,siem,nodejs",0,"['pandas', 'numpy', 'python']","['scikitlearn', 'siem', 'nodejs']"
"this task involves designing a mobile development app skills needed kotlin,flutter,jv",mobile development,"kotlin,flutter,jv",abe96005-f6be-2ef1-bc1e-e022c8cc610e,"java,flutter,python",1,"['kotlin', 'flutter', 'jv']","['java', 'flutter', 'python']"
"this tsk involves developing gme development pp skills needed unity,unrel engine,blender",game development,"unity,unrel engine,blender",c85c92f2-fe2c-5bb4-700b-52e8cf8b31df,"unity,unral engin,firwalls,scikitlern",1,"['unity', 'unrel engine', 'blender']","['unity', 'unral engin', 'firwalls', 'scikitlern']"
"this task involves improving a cybersecurity app skills needed encryption,siem,firewlls,penetrtion testing",cybersecurity,"encryption,siem,firwlls,pntrtion tsting",66fde2d9-cb8c-2c85-abd5-b1d21e2aca91,"firwlls,siem,dockr,cicd,pnds",1,"['encryption', 'siem', 'firwlls', 'pntrtion tsting']","['firwlls', 'siem', 'dockr', 'cicd', 'pnds']"
"this task involves designing a cybersecurity app skills needed encryption,firewalls,siem,networking",cybersecurity,"encryption,firewalls,siem,networking",a4ccbc84-e9ac-8390-9591-5cd0ca9b2cc3,"rct ntiv,unreal engine,unity,docker,jv",0,"['encryption', 'firewalls', 'siem', 'networking']","['rct ntiv', 'unreal engine', 'unity', 'docker', 'jv']"
"this task involves designing a game development app skills needed c,blender,unity",gme development,"c,blender,unity",fdcca49c-9183-6067-fac9-498dfebfdbc0,"encryption,cicd,ntworking,firewalls",0,"['c', 'blender', 'unity']","['encryption', 'cicd', 'ntworking', 'firewalls']"
"this tsk involves improving devops pp skills needed kubernetes,terrform",devops,"kubernetes,terraform",e3416b9e-d9dd-d6e4-cf55-15451af85f59,"python,nodejs,ntworking,ract nativ,encryption",0,"['kubernetes', 'terraform']","['python', 'nodejs', 'ntworking', 'ract nativ', 'encryption']"
"this task involves developing a mobile development app skills needed java,kotlin",mobile development,"java,kotlin",63a1a9b2-6f43-ddc0-3987-9d547cf56467,"kotlin,jv,ract nativ,ntworking",1,"['java', 'kotlin']","['kotlin', 'jv', 'ract nativ', 'ntworking']"
"this tsk involves designing cybersecurity pp skills needed firewlls,siem,networking,penetrtion testing",cybersecurity,"firewlls,siem,ntworking,pntration tsting",a30d7b8b-cd61-32f9-bc73-55c171593dc7,"encryption,flutter,kotlin,kubernetes,unity",0,"['firewlls', 'siem', 'ntworking', 'pntration tsting']","['encryption', 'flutter', 'kotlin', 'kubernetes', 'unity']"
"this tsk involves testing mobile development pp skills needed flutter,jv",mobile development,"flutter,java",a227f5ac-2159-13d0-2b30-9e8dd5f8420b,"java,flutter,html",1,"['flutter', 'java']","['java', 'flutter', 'html']"
"this task involves testing a data science app skills needed sql,python",data science,"sql,python",4241180d-cda3-bedc-2786-43858169ea87,"python,sql,react,pntration tsting,firewlls",1,"['sql', 'python']","['python', 'sql', 'react', 'pntration tsting', 'firewlls']"
"this task involves designing a cybersecurity app skills needed penetration testing,firewalls,networking",cybersecurity,"penetration testing,firwalls,networking",966ea4f5-c76b-9738-5eea-28f61f28f2b1,"fluttr,jv,react",0,"['penetration testing', 'firwalls', 'networking']","['fluttr', 'jv', 'react']"
"this tsk involves testing devops pp skills needed kubernetes,cicd,docker",devops,"kubernetes,cicd,docker",2301d70d-a8a8-f078-d54d-5f3f6077bca2,"kubrnts,cicd,c",1,"['kubernetes', 'cicd', 'docker']","['kubrnts', 'cicd', 'c']"
"this tsk involves designing gme development pp skills needed c,unrel engine",gme development,"c,unreal engine",19f4b881-0ec5-a40b-fa75-9d7fae4d26df,"terraform,swift,scikitlern,java",0,"['c', 'unreal engine']","['terraform', 'swift', 'scikitlern', 'java']"
"this tsk involves developing mobile development pp skills needed flutter,rect ntive,jv,kotlin",mobile development,"flutter,rect ntive,jv,kotlin",699276fb-aed2-c62a-4b2a-87decdeadb45,"flutter,kotlin,css,aws,numpy",1,"['flutter', 'rect ntive', 'jv', 'kotlin']","['flutter', 'kotlin', 'css', 'aws', 'numpy']"
"this task involves testing a web development app skills needed react,html,css,nodejs",web development,"ract,html,css,nodjs",66c93fc5-9f16-d897-8426-7e1d3e3d88ec,"aws,react native,docker",0,"['ract', 'html', 'css', 'nodjs']","['aws', 'react native', 'docker']"
"this tsk involves developing gme development pp skills needed unity,c",gme development,"unity,c",d6699e83-ca31-8428-8afe-dddf6c2e811b,"unity,c,sql",1,"['unity', 'c']","['unity', 'c', 'sql']"
"this task involves testing a mobile development app skills needed kotlin,react native,swift",mobile development,"kotlin,react native,swift",1e66fe2b-397a-ae53-f679-29e44daa390e,"kotlin,ract nativ,penetration testing,aws,cicd",1,"['kotlin', 'react native', 'swift']","['kotlin', 'ract nativ', 'penetration testing', 'aws', 'cicd']"
"this tsk involves designing gme development pp skills needed unity,unreal engine,c",gme development,"unity,unreal engine,c",48ce4e8b-1d21-46db-c7f8-93f2bb26f5b1,"c,unity,aws,jvscript",1,"['unity', 'unreal engine', 'c']","['c', 'unity', 'aws', 'jvscript']"
"this tsk involves testing dt science pp skills needed sql,python,scikitlern,pnds",data science,"sql,python,scikitlearn,pandas",b5ebf549-a859-5214-dfe6-c6c73b696d61,"sql,pnds,aws,scikitlearn",1,"['sql', 'python', 'scikitlearn', 'pandas']","['sql', 'pnds', 'aws', 'scikitlearn']"
"this tsk involves developing gme development pp skills needed blender,unrel engine,c",gme development,"blender,unreal engine,c",cac69a26-853b-d9d7-c570-fe787b4f7417,"html,react native,firewalls",0,"['blender', 'unreal engine', 'c']","['html', 'react native', 'firewalls']"
"this tsk involves developing devops pp skills needed ws,terrform,cicd",devops,"ws,terrform,cicd",73c4bb31-8463-7a13-d3e1-ac7d7fd6db4b,"ntworking,siem,encryption",0,"['ws', 'terrform', 'cicd']","['ntworking', 'siem', 'encryption']"
"this task involves designing a devops app skills needed docker,kubernetes,aws",devops,"docker,kubrnts,aws",26ed3e94-df8a-38fe-14cc-56a055b42956,"dockr,ws,python,siem",1,"['docker', 'kubrnts', 'aws']","['dockr', 'ws', 'python', 'siem']"
"this tsk involves improving cybersecurity pp skills needed encryption,firewalls,penetration testing",cybersecurity,"encryption,firewalls,penetration testing",29f93d52-bd44-d628-fd25-1e78d7df5514,"scikitlearn,swift,javascript,terraform,kotlin",0,"['encryption', 'firewalls', 'penetration testing']","['scikitlearn', 'swift', 'javascript', 'terraform', 'kotlin']"
"this task involves improving a devops app skills needed kubernetes,aws,cicd,terrform",devops,"kubernetes,aws,cicd,terrform",a361bbd6-c103-8aeb-307d-c1db3aa34b07,"unreal engine,scikitlearn,numpy,kotlin,penetrtion testing",0,"['kubernetes', 'aws', 'cicd', 'terrform']","['unreal engine', 'scikitlearn', 'numpy', 'kotlin', 'penetrtion testing']"
"this tsk involves improving mobile development pp skills needed jv,rect ntive,flutter,swift",mobile development,"java,rct ntiv,fluttr,swift",9c8ba84e-dd30-e859-36a3-b046a2947fa1,"ract nativ,flutter,cicd,terrform",1,"['java', 'rct ntiv', 'fluttr', 'swift']","['ract nativ', 'flutter', 'cicd', 'terrform']"
"this task involves designing a mobile development app skills needed react native,flutter,jv",mobile development,"react native,flutter,jv",80011b0c-15a7-acd8-50a7-a3575df17b15,"unreal engine,dockr,ntworking,unity",0,"['react native', 'flutter', 'jv']","['unreal engine', 'dockr', 'ntworking', 'unity']"
"this task involves improving a cybersecurity app skills needed penetrtion testing,siem,networking,encryption",cybersecurity,"penetrtion testing,siem,ntworking,encryption",d2f2fd5f-2d3d-94b0-3bad-3e4453ea263d,"pandas,cicd,firewlls,kubrnts,jvscript",0,"['penetrtion testing', 'siem', 'ntworking', 'encryption']","['pandas', 'cicd', 'firewlls', 'kubrnts', 'jvscript']"
"this task involves improving a devops app skills needed terraform,kubernetes,docker,cicd",devops,"terraform,kubernetes,docker,cicd",891d3f18-1456-f91d-62af-b68cf076b9d0,"kubernetes,cicd,unreal engine",1,"['terraform', 'kubernetes', 'docker', 'cicd']","['kubernetes', 'cicd', 'unreal engine']"
